String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.test/special_chars,"✓•■≥’–",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19/how_did_we_do,"Let us know how we did at [$SUPPORT_EMAIL](mailto:$SUPPORT_EMAIL)",,,,,,,,,,,,"Háganos saber cómo lo hicimos en [$SUPPORT_EMAIL](mailto:$SUPPORT_EMAIL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.entry/prompt,"How can I help you?",,,,,,,,,,,,"¿Cómo puedo ayudarle?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.entry/tos,"A coalition of world-leading medical and research institutions, blood centers, life science companies, technology companies, philanthropic organizations, and survivor groups has come together to support the rapid development of potential new therapies for COVID-19 prevention, including vaccines.

You are invited to voluntarily provide a ZIP code and answer the non-personally identifiable questions below ('Inquiry Form') to determine your current eligibility to receive a COVID-19 vaccine in your state or locality. For more information about how your privacy is protected, please see the [Privacy Policy]($PRIVACY_POLICY_URL).

This Inquiry Form is not designed or intended to be a substitute for, nor should it be used to replace professional medical advice, diagnosis, treatment, or judgment. It is recommended that you always seek the advice of your physician or other qualified health care provider with any questions you may have regarding a medical condition or treatment, and do not disregard professional medical advice or delay in seeking it because of something you have read on this website.

You can provide feedback by emailing [$SUPPORT_EMAIL](mailto:$SUPPORT_EMAIL)

Do you accept these terms?",,,,,,,,,,,,"Una coalición de instituciones médicas y de investigación líderes en el mundo, centros de sangre, empresas de ciencias de la vida, empresas tecnológicas, organizaciones filantrópicas y grupos de sobrevivientes se ha unido para apoyar el rápido desarrollo de nuevas terapias potenciales para la prevención covid-19, incluidas las vacunas.

Se le invita a proporcionar voluntariamente un código postal y responder a las preguntas no identificables personalmente a continuación ('Formulario de consulta') para determinar su elegibilidad actual para recibir una vacuna COVID-19 en su estado o localidad. Para obtener más información acerca de cómo se protege su privacidad, consulte la [Política de privacidad]($PRIVACY_POLICY_URL).

Este Formulario de Investigación no está diseñado o destinado a ser un sustituto, ni debe ser utilizado para reemplazar el asesoramiento médico profesional, diagnóstico, tratamiento o juicio. Se recomienda que siempre busque el consejo de su médico u otro proveedor de atención médica calificado con cualquier pregunta que pueda tener con respecto a una condición médica o tratamiento, y no ignore el consejo médico profesional o el retraso en buscarlo debido a algo que haya leído en este sitio web.

Puede proporcionar comentarios enviando un correo electrónico a [$SUPPORT_EMAIL](mailto:$SUPPORT_EMAIL)

¿Aceptas estos términos?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.entry/tos_rejected,"Unfortunately I cannot help you if you do not accept the terms. Goodbye.",,,,,,,,,,,,"Desafortunadamente no puedo ayudarte si no aceptas los términos. Adiós.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.entry/preamble_bing,"This project was made possible through a partnership with The MITRE Corporation and is enabled by Microsoft's Azure platform.",,,,,,,,,,,,"Este proyecto fue posible gracias a una asociación con MITRE Corporation y está habilitado por la plataforma Azure de Microsoft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.question_series/answer_options_yesno,"[""Yes"", ""No""]",,,,,,,,,,,,"[""Sí"", ""No""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.question_series/answer_options_yesnoinfo,"[""Yes"", ""No"", ""More Info""]",,,,,,,,,,,,"[""Sí"", ""No"", ""Más información""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.entry/unknown_question,"I'm not sure how to help you with that. Please try one of the prepared questions.",,,,,,,,,,,,"No estoy seguro de cómo ayudarte con eso. Por favor, pruebe una de las preguntas preparadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/what_is_your_location,"Vaccine eligibility is based on where you live. Please enter your zip code or city and state.",,,,,,,,,,,,"La elegibilidad para la vacuna se basa en el lugar donde vive. Introduzca su código postal o ciudad y estado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/select_location,"I found multiple matching locations. Please select the correct location or re-enter your location.",,,,,,,,,,,,"Encontré varias ubicaciones coincidentes. Seleccione la ubicación correcta o vuelva a introducir su ubicación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/reenter_location_option,"Re-enter location",,,,,,,,,,,,"Volver a entrar en la ubicación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/location_outside_region_scope,"$LOCATION falls outside of $REGION.",,,,,,,,,,,,"$LOCATION cae fuera de $REGION.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/api_error,"Oops. Something went wrong.",,,,,,,,,,,,"Oops. Algo salió mal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/empty_maps_results,"Unfortunately, I was unable to locate information for $LOCATION.",,,,,,,,,,,,"Desafortunadamente, no pude localizar información para $LOCATION.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/location_entry_submit_button,"Enter",,,,,,,,,,,,"Entrar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.locate/input_placeholder,"ZIP Code or City/State",,,,,,,,,,,,"Código Postal o Ciudad/Estado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.moreinfo/lookup,"Let me see if I can find more details on the question: $QUESTION",,,,,,,,,,,,"Permítanme ver si puedo encontrar más detalles sobre la pregunta: $QUESTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.moreinfo/no_info_available,"Unfortunately, I don't have any more details on that yet. Try checking your state's COVID-19 info site at $INFO_LINK",,,,,,,,,,,,"Desafortunadamente, aún no tengo más detalles al respecto. Intente revisar el sitio de información covid-19 de su estado en $INFO_LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.safety/cdc_link,"You can find more information about the safety of the COVID-19 vaccine at the [CDC's Website](https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety.html)",,,,,,,,,,,,"Puede encontrar más información sobre la seguridad de la vacuna COVID-19 en el [Sitio Web de los CDC] (https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety.html)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/schedule_vax,"Schedule a Vaccination",,,,,,,,,,,,"Programar una vacunación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/vax_providers,"View locations providing vaccines",,,,,,,,,,,,"Ver lugares que proporcionan vacunas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/vax_quiz,"Vaccine Eligibility Questionnaire",,,,,,,,,,,,"Cuestionario de elegibilidad para vacunas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/vax_info,"Vaccine Information Page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/missing_policy_plan,"Unfortunately, I don't have details for $REGION.",,,,,,,,,,,,"Desafortunadamente, no tengo detalles para $REGION.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/scheduling_link_text,"You can schedule a vaccination at $LINK",,,,,,,,,,,,"Puede programar una vacunación en $LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/scheduling_phone_link_text,"You can call the scheduling hotline at $LINK",,,,,,,,,,,,"Puede llamar a la línea directa de programación en $LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/registration_link_text,"You can register for updates at $LINK",,,,,,,,,,,,"Puede registrarse para recibir actualizaciones en $LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/providers_link_text,"You can view a list of vaccination providers at $LINK",,,,,,,,,,,,"Puede ver una lista de proveedores de vacunación en $LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/more_details_here,"You can find more details [here]($LINK).",,,,,,,,,,,,"Puede encontrar más detalles [aquí] ($LINK).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/state_status,"$REGION is in phase $PHASE, which has $NUM_QUESTIONS eligibility questions.",,,,,,,,,,,,"$REGION está en fase $PHASE, que tiene preguntas de elegibilidad $NUM_QUESTIONS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/state_status_nophase,"$REGION has $NUM_QUESTIONS eligibility questions.",,,,,,,,,,,,"$REGION tiene preguntas de elegibilidad $NUM_QUESTIONS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/lets_check,"Let's check your eligibility.",,,,,,,,,,,,"Vamos a verificar su elegibilidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/tribal_healthcare_question,"Are you a member of an American Indian tribe and receive healthcare through tribal healthcare services?",,,,,,,,,,,,"¿Es usted miembro de una tribu india americana y recibe atención médica a través de servicios de salud tribales?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/tribal_healthcare_fallback,"You may already have access to the COVID-19 vaccine. You should check with your tribe's website or administrative office for eligibility details.",,,,,,,,,,,,"Es posible que ya tenga acceso a la vacuna COVID-19. Debe consultar con el sitio web o la oficina administrativa de su tribu para obtener detalles de elegibilidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/workflow_available,"It looks like your state has set up a vaccination eligibility workflow site: $SITE.",,,,,,,,,,,,"Parece que su estado ha configurado un sitio de flujo de trabajo de elegibilidad de vacunación: $SITE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/workflow_probably_best,"This site will have the most up-to-date information, but we'll continue here for your convenience.",,,,,,,,,,,,"Este sitio tendrá la información más actualizada, pero continuaremos aquí para su comodidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/state_prompt,"What state do you reside in?",,,,,,,,,,,,"¿En qué estado resides?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/eligible_message,"It looks like you are eligible for the COVID-19 vaccine according to your state's guidelines.",,,,,,,,,,,,"Parece que usted es elegible para la vacuna COVID-19 de acuerdo con las directrices de su estado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/ineligible_message,"Unfortunately, according to your state's guidelines you are not yet eligible for the COVID-19 vaccine.",,,,,,,,,,,,"Desafortunadamente, de acuerdo con las directrices de su estado, aún no es elegible para la vacuna COVID-19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility/for_more_info,"For more information, consult your state's website at $INFO_LINK",,,,,,,,,,,,"Para obtener más información, consulte el sitio web de su estado en $INFO_LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.16_up,"Are you age 16+?",,,,,,,,,,,,"¿Tienes más de 16 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.55_up,"Are you age 55+?",,,,,,,,,,,,"¿Tienes más de 55 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.60_up,"Are you age 60+?",,,,,,,,,,,,"¿Tienes más de 60 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.65_up,"Are you age 65+?",,,,,,,,,,,,"¿Tienes más de 65 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.70_up,"Are you age 70+?",,,,,,,,,,,,"¿Tienes más de 70 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.75_up,"Are you age 75+?",,,,,,,,,,,,"¿Tienes más de 75 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.80_up,"Are you age 80+?",,,,,,,,,,,,"¿Tienes más de 80 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health,"Are you age 16+, and have a high-risk medical condition?",,,,,,,,,,,,"¿Tiene más de 16 años y tiene una afección médica de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker,"Are you a healthcare worker?",,,,,,,,,,,,"¿Es usted un trabajador sanitario?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker.in_hospital,"Are you a healthcare worker within a hospital?",,,,,,,,,,,,"¿Es usted un trabajador sanitario dentro de un hospital?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident,"Are you a long-term care resident?",,,,,,,,,,,,"¿Es usted un residente de cuidado a largo plazo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker,"Are you classified as an essential worker?",,,,,,,,,,,,"¿Está clasificado como un trabajador esencial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.1b,"Are you as an essential frontline worker? This includes first responders; corrections officers; and workers in the food and agricultural sector, USPS, manufacturing, grocery stores, public transit, education, or child care.",,,,,,,,,,,,"¿Eres un trabajador esencial de primera línea? Esto incluye socorristas; oficiales de correccionales; y trabajadores del sector alimentario y agrícola, USPS, manufactura, supermercados, transporte público, educación o cuidado de niños.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.k12,"Are you K-12 personnel?",,,,,,,,,,,,"¿Eres personal de K-12?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.leo,"Are you a law enforcement officer?",,,,,,,,,,,,"¿Eres un oficial de la ley?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.firefighter_leo,"Are you a firefighter or law enforcement officer?",,,,,,,,,,,,"¿Es usted bombero o oficial de la ley?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.leo_corrections,"Are you a law enforcement office or corrections staff?",,,,,,,,,,,,"¿Es usted un agente de la ley o personal correccional?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.ff_leo_corrections,"Are you a firefighter, law enforcement officer, or corrections staff?",,,,,,,,,,,,"¿Es usted bombero, oficial de policía o personal correccional?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
