String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.eligibility.question/congregate,"Do you live in a congregate setting (e.g. homeless shelter, group home, correctional facility, behavioral health institution, etc...)?",,,,,,,,,,,,"¿Vives en un entorno congregado (por ejemplo, refugio para personas sin hogar, hogar en grupo, centro correccional, institución de salud conductual, etc...)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/multigenerational.do,"Do you live in a multigenerational household?",,,,,,,,,,,,"¿Vives en un hogar multigeneracional?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.do,"Do you work or live in a congregate setting? ",,,,,,,,,,,,"¿Trabaja o vive en un entorno congregado? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident.are,"Are you a long term care resident or work in a long term care facility?",,,,,,,,,,,,"¿Es usted un residente de cuidado a largo plazo o trabaja en un centro de atención a largo plazo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are,"Are you a first responder?",,,,,,,,,,,,"¿Eres socorrista?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you,"Are you a K-12 educator or work in a licensed child care facility? ",,,,,,,,,,,,"¿Es usted educador k-12 o trabaja en un centro de cuidado infantil con licencia? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/government.are,"Are you a member of the state executive or judiciary branch?",,,,,,,,,,,,"¿Es usted miembro del poder ejecutivo o judicial estatal?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are,"Are you age 16+, and have two or more high-risk medical conditions?",,,,,,,,,,,,"¿Tiene más de 16 años y tiene dos o más condiciones médicas de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are,"Are you age 50+?",,,,,,,,,,,,"¿Tienes más de 50 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/clinical_trial.are,"Are you age 18+ and are someone who received a placebo during a COVID-19 clinical trial?",,,,,,,,,,,,"¿Tienes más de 18 años y eres alguien que recibió un placebo durante un ensayo clínico con COVID-19?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker.are,"Are you a healthcare worker with direct patient contact?",,,,,,,,,,,,"¿Es usted un trabajador sanitario con contacto directo con el paciente?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a,"Are you a sworn law enforcement officer or firefighter, 50 years of age or older?",,,,,,,,,,,,"¿Es usted un oficial o bombero jurado, de 50 años de edad o más?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_k,"Are you a K-12 school employee, 50 years of age or older?",,,,,,,,,,,,"¿Es usted un empleado de la escuela K-12, de 50 años de edad o más?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you,"Are you a parent of a child with a complex medical condition?",,,,,,,,,,,,"¿Es usted padre de un niño con una condición médica compleja?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_an,"Are you an adult with intellectual or developmental disabilities or are you a caregiver to an adult with intellectual or developmental disabilities?",,,,,,,,,,,,"¿Es usted un adulto con discapacidades intelectuales o del desarrollo o es un cuidador de un adulto con discapacidades intelectuales o del desarrollo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker.are_you,"Are you a caregiver to an adult aged 65 or older?",,,,,,,,,,,,"¿Es usted cuidador de un adulto de 65 años o más?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_an,"Are you an educator or child care provider?",,,,,,,,,,,,"¿Es usted educador o proveedor de cuidado infantil?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_a,"Are you a person age 26+ with a high-risk medical condition?",,,,,,,,,,,,"¿Es usted una persona de más de 26 años con una condición médica de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/exposure_to_infectious_material.do,"Do you have exposure to COVID-19 infectious material?",,,,,,,,,,,,"¿Tiene exposición al material infeccioso COVID-19?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_currently,"Are you currently pregnant?",,,,,,,,,,,,"¿Estás embarazada actualmente?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you,"Are you age 40+?",,,,,,,,,,,,"¿Tienes más de 40 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_age,"Are you age 55+ and have a high-risk medical condition?",,,,,,,,,,,,"¿Tiene más de 55 años y tiene una condición médica de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.are,"Are you a resident or staff of public or private low income and affordable senior housing?",,,,,,,,,,,,"¿Es usted residente o personal de bajos ingresos públicos o privados y viviendas para personas de la tercera edad asequibles?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.are,"Are you Native American or a person of color who may be at elevated risk for COVID-19 related complications?",,,,,,,,,,,,"¿Es usted nativo americano o una persona de color que puede estar en alto riesgo de complicaciones relacionadas con COVID-19?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_an_adult,"Are you an adult with a high-risk medical condition?",,,,,,,,,,,,"¿Es usted un adulto con una condición médica de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_age_45,"Are you age 45+, and have a high-risk medical condition?",,,,,,,,,,,,"¿Tiene más de 45 años y tiene una afección médica de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/multigenerational.are,"Are you age 50+ and live in a multigenerational household?",,,,,,,,,,,,"¿Tienes más de 50 años y vives en un hogar multigeneracional?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_a_person,"Are you a person with a rare condition or disability that put you at higher risk?",,,,,,,,,,,,"¿Es usted una persona con una condición rara o discapacidad que lo pone en mayor riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age,"Are you age 16+ and have a high-risk medical conditions?",,,,,,,,,,,,"¿Tienes más de 16 años y tienes unas condiciones médicas de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_transportation,"Are you a transportation worker?",,,,,,,,,,,,"¿Eres un trabajador del transporte?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/housing.are,"Are you experiencing homelessness or living in a shelter?",,,,,,,,,,,,"¿Estás experimentando la falta de vivienda o viviendo en un refugio?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/tribal.are,"Are you a member of a tribal community?",,,,,,,,,,,,"¿Eres miembro de una comunidad tribal?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/worker.are,"Are you a migrant farm worker?",,,,,,,,,,,,"¿Eres un trabajador agrícola migrante?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/housing.are_you,"Are you experiencing homelessness?",,,,,,,,,,,,"¿Estás experimentando la falta de vivienda?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/government.are_you,"Are you a Continuity of Government personnel?",,,,,,,,,,,,"¿Es usted una continuidad del personal del Gobierno?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_medical,"Are you a medical first responder?",,,,,,,,,,,,"¿Eres socorrista médico?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.do_you,"Do you work in a congregate setting?",,,,,,,,,,,,"¿Trabaja en una configuración congregada?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/worker.are_you,"Are you a grocery store worker?",,,,,,,,,,,,"¿Eres trabajador de una tienda de comestibles?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/worker.are_you_a,"Are you a restaurant or delivery worker?",,,,,,,,,,,,"¿Eres un restaurante o repartidor?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/worker.are_you_a_hotel,"Are you a hotel worker?",,,,,,,,,,,,"¿Eres un trabajador del hotel?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_frontline,"Are you a frontline healthcare worker?",,,,,,,,,,,,"¿Es usted un trabajador sanitario de primera línea?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_an_essential,"Are you an essential worker outside of healthcare?",,,,,,,,,,,,"¿Es usted un trabajador esencial fuera de la atención médica?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_an_educator,"Are you an educator with age of 40+?",,,,,,,,,,,,"¿Eres educador con más de 40 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/worker.do,"Do you work in the funeral services industry?",,,,,,,,,,,,"¿Trabajas en la industria de servicios funerarios?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_on,"Are you on the Wyoming Medicaid Community Choices Waiver and Developmental waivers?",,,,,,,,,,,,"¿Está en la Exención de Opciones comunitarias de Wyoming Medicaid y exenciones de desarrollo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/housing.do,"Do you live in a college dormitory?",,,,,,,,,,,,"¿Vives en un dormitorio universitario?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker.are_you_a,"Are you a non-frontline essential health care worker?",,,,,,,,,,,,"¿Es usted un trabajador de atención médica esencial que no es de primera línea?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.are_you,"Are you a high-risk resident in a congregate setting?",,,,,,,,,,,,"¿Es usted un residente de alto riesgo en un entorno congregado?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_aged,"Are you aged 55+ with underlying health conditions?",,,,,,,,,,,,"¿Tiene más de 55 años con condiciones de salud subyacentes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_a,"Are you a school age child or in daycare?",,,,,,,,,,,,"¿Es usted un niño en edad escolar o en la guardería?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age_18,"Are you age 18+?",,,,,,,,,,,,"¿Tienes más de 18 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_caregiver,"Are you a caregiver to an individual 16 or older with disabilities?",,,,,,,,,,,,"¿Es usted un cuidador de una persona de 16 años o más con discapacidades?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age_45,"Are you age 45+?",,,,,,,,,,,,"¿Tienes más de 45 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/veteran.are,"Are you a veteran?",,,,,,,,,,,,"¿Eres un veterano?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.are_you_currently,"Are you currently incarcerated?",,,,,,,,,,,,"¿Está actualmente encarcelado?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_an_adult_with,"Are you an adult with an intellectual or developmental disability?",,,,,,,,,,,,"¿Es usted un adulto con una discapacidad intelectual o del desarrollo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age_35,"Are you age 35+?",,,,,,,,,,,,"¿Tienes más de 35 años?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident.are_you,"Are you enrolled in a Medicaid long-term care program?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.is,"Are you 16+ and is your zip code covered by the Hard-Hit Community Vaccination Strategy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.are_you,"Are you an English language learner or a member of an immigrant/refugee community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.do,"Do you live in a Black, Indigenous and people of color (BIPOC) household?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_currently_hospitalized,"Are you currently hospitalized and diagnosed with a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/housing.are_you_currently,"Are you currently living in a transient housing facility?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_age_30,"Are you age 30+?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_a_nevada,"Are you a Nevada System of Higher Education (NSHE) frontline educator or staff?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_currently_receiving,"Are you currently receiving hospital-based treatment and diagnosed with a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/people_of_color.are_you_a,"Are you a member of a disproportionately impacted population (especially a racial/ethnic minority group) at increased risk of acquiring or transmitting COVID-19?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_aged,"Are you aged 16+ with disabilities and receiving SSI or SSDI benefits?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_receiving,"Are you receiving long term services and supports through the state's Medicaid waiver or state plan services?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_homebound,"Are you homebound or otherwise unable to leave your home to get to a vaccination site, even with assistance?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.are_you_classified,"Are you classified as a frontline worker or are you age 16+ and live in the same household as someone classified as a frontline worker?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_a_person_aged,"Are you a person aged 16+ with intellectual and developmental disabilities?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/health.are_you_age_35,"Are you age 35+, and have a high-risk medical condition?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/age.are_you_20,"Are you 20+?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
